Date,Group,Exercise,Sets,Total volume (kg),Max weight (kg)
10 Nov 2025,Legs (upper),Solduri aparat,"50x12
50x11
50x10
50x10
50x9",2600,50.0
10 Nov 2025,Legs (upper),Inghinali aparat,"40x12
40x10
40x9
40x8
40x12",2040,40.0
10 Nov 2025,Legs (lower),Gambe presa,"130x11
130x11
130x11
130x10
120x14",7270,130.0
17 Nov 2025,Chest,Bench press barbell,"50x15
50x13
50x10
50x9
50x11",2900,50.0
17 Nov 2025,Chest,Incline bench press dumbell,"22x14
22x12
22x8",748,22.0
17 Nov 2025,Back,Helcometru clasic (un pic lăsat pe spate),"50x12
50x11
50x9
45x12
45x10",2590,50.0
17 Nov 2025,Back,Ramat bara V,"45x11
45x11
45x10
45x9
45x8",2205,45.0
17 Nov 2025,Shoulders,Lateral raises DB,"6x10
6x10
6x10
6x9
6x9",288,6.0
17 Nov 2025,Shoulders,Facepulls,"15x13
15x12
15x11
15x10
15x13",885,15.0
17 Nov 2025,Triceps,Triceps pushdown rope,"17.5x11
17.5x9
17.5x9
15x10
15x11",821,17.5
17 Nov 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x10
20x10
20x11",1080,20.0
17 Nov 2025,Biceps,Seated biceps curls DB,"12x10
10x11
10x11
10x9
10x12",550,12.0
17 Nov 2025,Biceps,Biceps curls bara dreapta scripete,"15x13
15x12
15x10
15x9
12.5x19",897,15.0
17 Nov 2025,Legs (upper),Front squat,"30x12
30x11
30x10
30x9
30x13",1650,30.0
17 Nov 2025,Legs (upper),Straight leg DL DB,"16x11
16x10
16x9
16x9
16x9",768,16.0
17 Nov 2025,Legs (upper),Solduri aparat,"50x12
50x12
50x11
50x10
50x9",2700,50.0
24 Nov 2025,Chest,Bench press barbell,"50x15
50x13
50x10
50x9
50x11",2900,50.0
24 Nov 2025,Back,Helcometru clasic (un pic lăsat pe spate),"50x12
50x11
45x10
45x12
45x11",2635,50.0
24 Nov 2025,Back,Ramat bara V,"45x11
45x11
45x11
45x9
45x8",2250,45.0
24 Nov 2025,Shoulders,Facepulls,"15x13
15x12
15x11
15x10
15x14",900,15.0
24 Nov 2025,Triceps,Triceps pushdown rope,"17.5x11
17.5x11
17.5x9
15x9
15x12",856,17.5
24 Nov 2025,Biceps,Seated biceps curls DB,"10x12
10x11
10x11
10x10
10x12",560,10.0
1 Dec 2025,Chest,Bench press barbell,"50x15
50x13
50x11
50x9
50x11",2950,50.0
1 Dec 2025,Chest,Incline bench press dumbell,"22x14
22x12
22x10
20x10
20x11",1212,22.0
1 Dec 2025,Chest,Flies bench horizontal DB,"12x14
12x12
14x10
14x10
14x9",718,14.0
1 Dec 2025,Back,Helcometru clasic (un pic lăsat pe spate),"50x12
50x11
45x10
45x13
45x11",2680,50.0
1 Dec 2025,Back,Pullover cable bara dreapta,"22.5x11
22.5x10
20x10
20x9
17.5x11",1044,22.5
1 Dec 2025,Back,Ramat bara V,"50x10
50x10
45x11
45x9
45x8",2260,50.0
1 Dec 2025,Shoulders,Military shoulder press,"25x13
25x12
25x10
25x9
25x8",1300,25.0
1 Dec 2025,Shoulders,Lateral raises DB,"6x10
6x10
6x10
6x10
6x9",294,6.0
1 Dec 2025,Shoulders,Facepulls,"15x15
15x13
15x11
15x11
15x11",915,15.0
1 Dec 2025,Triceps,Triceps pushdown rope,"17.5x12
17.5x10
17.5x9
17.5x8
15x13",877,17.5
1 Dec 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x9
20x11
20x11",1080,20.0
1 Dec 2025,Biceps,Seated biceps curls DB,"10x12
10x11
10x11
10x10
10x12",560,10.0
1 Dec 2025,Biceps,Seated hammer curls DB,"10x10
10x10
10x9
10x9
10x14",520,10.0
1 Dec 2025,Legs (upper),Front squat,"30x12
30x11
30x10
30x10
30x13",1680,30.0
1 Dec 2025,Legs (upper),Straight leg DL DB,"17.5x10
17.5x10
17.5x9
17.5x8
17.5x8",787,17.5
1 Dec 2025,Legs (upper),Solduri aparat,"50x12
50x12
50x11
50x10
50x10",2750,50.0
1 Dec 2025,Legs (upper),Bulgarian split squats,"17.5x8
17.5x9
20x8
20x7
20x10",797,20.0
1 Dec 2025,Legs (upper),Inghinali aparat,"40x12
40x12
40x10
40x9
40x8",2040,40.0
1 Dec 2025,Legs (lower),Gambe machine,"20x15
20x14
20x14
20x12
20x12",1340,20.0
8 Dec 2025,Chest,Bench press barbell,"50x15
55x10
55x12
50x10
50x10",2960,55.0
8 Dec 2025,Back,Ramat bara V,"50x11
50x10
50x9
45x10
45x9",2355,50.0
8 Dec 2025,Shoulders,Facepulls,"17.5x13
17.5x11
17.5x10
15x11
15x11",924,17.5
8 Dec 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x10
20x11
20x11",1100,20.0
8 Dec 2025,Biceps,Seated biceps curls DB,"10x12
10x11
10x10
10x10
10x13",560,10.0
15 Dec 2025,Chest,Bench press barbell,"50x15
55x11
60x11
65x8
50x10",3035,65.0
15 Dec 2025,Chest,Incline bench press dumbell,"22x14
22x13
22x10
20x10
20x11",1234,22.0
15 Dec 2025,Chest,Flies bench horizontal DB,"12x14
14x10
14x12
14x10
14x9",742,14.0
15 Dec 2025,Back,Helcometru aparat cu discuri,"80x9
80x8
80x7
70x11
70x10",3390,80.0
15 Dec 2025,Back,Pullover cable bara dreapta,"22.5x11
22.5x10
20x10
20x9
17.5x12",1062,22.5
15 Dec 2025,Back,Ramat bara V,"50x11
50x10
50x10
50x9
45x9",2405,50.0
15 Dec 2025,Shoulders,Aparat seated shoulder press,"60x8
55x10
55x9
50x9
45x11",2470,60.0
15 Dec 2025,Shoulders,Lateral raises DB,"6x11
6x10
6x10
6x10
6x9",300,6.0
15 Dec 2025,Shoulders,Facepulls,"17.5x13
17.5x12
17.5x10
17.5x10
15x11",952,17.5
15 Dec 2025,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10
15x10
15x11",892,17.5
15 Dec 2025,Triceps,Triceps pushdown bara V,"20x12
20x11
20x10
20x10
17.5x14",1105,20.0
15 Dec 2025,Biceps,Seated biceps curls DB,"10x12
10x11
10x10
10x12
10x12",570,10.0
15 Dec 2025,Biceps,Seated hammer curls DB,"10x10
10x10
10x9
10x9
10x14",520,10.0
15 Dec 2025,Legs (upper),Front squat,"30x12
35x10
35x9
35x9
30x12",1700,35.0
15 Dec 2025,Legs (upper),Straight leg DL DB,"18x10
18x10
18x9
18x8
18x8",810,18.0
15 Dec 2025,Legs (upper),Quad raise machine,"50x10
50x9
45x11
45x10
45x10",2345,50.0
15 Dec 2025,Legs (upper),Inghinali aparat,"45x11
40x12
40x10
40x9
40x8",2055,45.0
15 Dec 2025,Legs (lower),Gambe machine,"20x15
20x15
20x14
20x13
20x12",1380,20.0
15 Dec 2025,Legs (lower),Gambe one leg DB,"40x22
40x23
40x22
40x20
40x20",4280,40.0
22 Dec 2025,Legs (upper),Front squat,40x8,320,40.0
12 Jan 2026,Chest,Bench press barbell,"65x5
65x5
67.5x4
70x2
65x3",1255,70.0
12 Jan 2026,Back,Pullups,"80x5
80x5
80x4
80x4
80x4",1760,80.0
12 Jan 2026,Shoulders,Military shoulder press,"30x6
35x6
40x3
35x5
35x5",860,40.0
12 Jan 2026,Biceps,Seated biceps curls DB,"10x11
10x12
10x10
10x12
10x12",570,10.0
12 Jan 2026,Legs (upper),Front squat,"40x6
42.5x4
42.5x4
42.5x4
42.5x3",877,42.5
12 Jan 2026,Legs (upper),Straight leg DL DB,"20x8
20x8
20x8
20x6
18x12",816,20.0
12 Jan 2026,Legs (upper),Solduri aparat,"50x12
50x12
50x12
50x11
50x10",2850,50.0
19 Jan 2026,Chest,Bench press barbell,"65x5
65x4
65x4
67.5x4
67.5x2",1250,67.5
19 Jan 2026,Chest,Incline bench press barbell,"60x4
60x4
60x3
60x2
60x2",900,60.0
19 Jan 2026,Chest,Flies bench horizontal DB,"14x12
14x12
14x11
14x10
14x9",756,14.0
19 Jan 2026,Back,Helcometru aparat cu discuri,"80x10
80x9
80x8
80x8
80x9",3520,80.0
19 Jan 2026,Back,Pullups,"80x4
80x4
80x5
80x4
80x4",1680,80.0
19 Jan 2026,Back,Ramat bara V,"60x6
65x4
65x4
60x4
60x4",1360,65.0
19 Jan 2026,Shoulders,Military shoulder press,"35x6
40x3
40x3
35x5
35x5",800,40.0
19 Jan 2026,Shoulders,Lateral raises DB,"6x11
6x11
6x10
6x10
6x10",312,6.0
19 Jan 2026,Shoulders,Facepulls,"17.5x13
17.5x13
17.5x11
17.5x10
17.5x10",996,17.5
19 Jan 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10
15x10
15x12",907,17.5
19 Jan 2026,Triceps,Triceps pushdown bara V,"20x13
20x11
20x10
20x10
17.5x14",1125,20.0
19 Jan 2026,Biceps,Seated biceps curls DB,"10x13
10x11
10x11
10x12
10x11",580,10.0
19 Jan 2026,Biceps,Seated hammer curls DB,"10x11
10x10
10x9
10x9
10x14",530,10.0
19 Jan 2026,Legs (upper),Front squat,"40x4
42.5x4
45x3
45x3
45x2",690,45.0
19 Jan 2026,Legs (upper),Trap bar deadlift,"70x4
70x4
80x2
80x2
80x2",1040,80.0
19 Jan 2026,Legs (upper),Straight leg DL DB,"18x10
18x11
18x10
18x9
18x8",864,18.0
19 Jan 2026,Legs (upper),Solduri aparat,"55x11
55x11
55x10
55x10
55x10",2860,55.0
19 Jan 2026,Legs (lower),Gambe machine,"20x16
20x15
20x14
20x13
20x12",1400,20.0
19 Jan 2026,Legs (lower),Gambe one leg DB,"40x24
40x23
40x23
40x21
40x21",4480,40.0
26 Jan 2026,Chest,Bench press barbell,"55x14
55x11
55x10
55x10
55x11",3080,55.0
26 Jan 2026,Chest,Incline bench press barbell,"50x10
50x10",1000,50.0
26 Jan 2026,Chest,Flies bench horizontal DB,"14x12
14x12
14x11
14x10
14x9",756,14.0
26 Jan 2026,Back,Pullups,"79x5
79x5
79x5
79x5
79x4",1896,79.0
26 Jan 2026,Back,Pullover cable bara dreapta,"22.5x11
22.5x10
20x10
20x11
17.5x10",1067,22.5
26 Jan 2026,Back,Ramat bara V,"60x5
50x10
50x10
50x9
50x12",2350,60.0
26 Jan 2026,Shoulders,Aparat seated shoulder press,"60x6
62.5x5
65x4
65x4
65x3",1387,65.0
26 Jan 2026,Shoulders,Lateral raises DB,"6x11
6x10
6x10
6x10
6x12",318,6.0
26 Jan 2026,Shoulders,Facepulls,"17.5x12
17.5x14
17.5x12
17.5x10
17.5x10",1015,17.5
26 Jan 2026,Triceps,Dips,"1x11
1x8
1x8
1x7
1x9",43,1.0
26 Jan 2026,Triceps,Skull crushers DB,"10x13
10x12
10x11
10x8
8x11",528,10.0
26 Jan 2026,Biceps,Seated biceps curls DB,"10x13
10x12
10x11
10x11
10x12",590,10.0
26 Jan 2026,Biceps,Seated hammer curls DB,"10x12
10x11
10x9
10x9
10x13",540,10.0
26 Jan 2026,Legs (upper),Front squat,"40x4
42.5x4
45x4
47.5x3
47.5x3",794,47.5
26 Jan 2026,Legs (upper),Straight leg DL DB,"18x11
18x11
18x10
18x9
18x8",882,18.0
26 Jan 2026,Legs (upper),Lying hammstring curls,"27.5x11
27.5x11
27.5x10
27.5x9
27.5x9",1373,27.5
26 Jan 2026,Legs (upper),Inghinali aparat,"45x11
45x11
45x10
40x11
40x10",2280,45.0
26 Jan 2026,Legs (lower),Gambe one leg DB,"40x25
40x25
40x24
40x22
40x20",4640,40.0
9 Feb 2026,Chest,Bench press dumbell,"24x12
24x10
24x10
24x8
24x7",1128,24.0
9 Feb 2026,Chest,Incline bench press dumbell,"24x12
24x11
22x10
20x10
20x11",1192,24.0
9 Feb 2026,Chest,Flies bench horizontal DB,"14x12
14x11
14x11
14x10
14x10",756,14.0
9 Feb 2026,Back,Pullups,"79x5
79x5
79x5
79x4
79x6",1975,79.0
9 Feb 2026,Back,Pullover cable bara dreapta,"22.5x11
22.5x10
20x11
20x10
17.5x10",1067,22.5
9 Feb 2026,Back,Ramat bara V,"50x11
50x10
50x10
50x9
50x9",2450,50.0
9 Feb 2026,Shoulders,Aparat seated shoulder press,"50x10
55x10
55x9
50x9
45x11",2490,55.0
9 Feb 2026,Shoulders,Lateral raises DB,"6x11
6x11
6x10
6x10
6x12",324,6.0
9 Feb 2026,Shoulders,Facepulls,"17.5x14
17.5x13
17.5x12
17.5x11
17.5x10",1049,17.5
9 Feb 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10
15x10
15x12",907,17.5
9 Feb 2026,Triceps,Dips,"1x12
1x11
1x10
1x9
1x8",50,1.0
9 Feb 2026,Biceps,Seated biceps curls DB,"10x13
10x12
10x11
10x11
10x13",600,10.0
9 Feb 2026,Biceps,Seated hammer curls DB,"10x12
10x11
10x9
10x10
10x13",550,10.0
9 Feb 2026,Legs (upper),Sumo squat KB/BB,"28x15
28x14
28x14
28x13
28x12",1904,28.0
9 Feb 2026,Legs (upper),Hip thrusts,"40x10
50x8
50x8
50x7
50x7",1900,50.0
9 Feb 2026,Legs (upper),Straight leg DL DB,"18x13
20x10
20x9
20x8
18x8",918,20.0
9 Feb 2026,Legs (upper),Quad raise machine,"45x11
50x10
50x10
50x9
45x10",2395,50.0
9 Feb 2026,Legs (upper),Bulgarian split squats,"16x10
18x9
18x9
18x8
18x11",826,18.0
9 Feb 2026,Legs (lower),Gambe one leg DB,"40x25
40x25",2000,40.0
16 Feb 2026,Chest,Bench press barbell,"55x14
55x11
55x11
55x10
55x10",3080,55.0
16 Feb 2026,Chest,Incline bench press barbell,"50x8
50x8
50x7
50x7
50x5",1750,50.0
16 Feb 2026,Back,Helcometru aparat cu discuri,"80x10
80x10
80x8
75x9
75x9",3590,80.0
16 Feb 2026,Back,Pullups,78x5,390,78.0
16 Feb 2026,Back,Lombar aparat,"10x11
20x6
20x7
10x10
10x9",560,20.0
16 Feb 2026,Back,Ramat bara V,"50x12
50x10
50x10
45x10
45x10",2500,50.0
16 Feb 2026,Shoulders,Lateral raises DB,"6x11
6x11
6x10",192,6.0
16 Feb 2026,Shoulders,Facepulls,"20x12
20x12
20x10
20x10
20x9",1060,20.0
16 Feb 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10",577,17.5
16 Feb 2026,Biceps,Seated biceps curls DB,"10x13
10x12
10x10",350,10.0
16 Feb 2026,Legs (upper),Front squat,"40x8
40x8
40x7
40x7
40x12",1680,40.0
16 Feb 2026,Legs (upper),Straight leg DL BB,"40x10
45x8
45x8
45x7
45x7",1750,45.0
16 Feb 2026,Legs (upper),Quad raise machine,"45x11
50x10",995,50.0
16 Feb 2026,Legs (upper),Solduri aparat,"55x11
55x11
50x11",1760,55.0
16 Feb 2026,Legs (lower),Gambe one leg DB,"40x28
40x26
40x25
40x22
40x20",4840,40.0
23 Feb 2026,Chest,Bench press barbell,"60x11
60x11
60x8
50x13
50x13",3100,60.0
23 Feb 2026,Chest,Flies cable top,"10x11
10x10
10x9
10x7
7.5x15",482,10.0
23 Feb 2026,Back,Helcometru aparat cu discuri,"80x11
80x10
80x9
75x9
75x8",3675,80.0
23 Feb 2026,Back,Ramat bara V,"50x12
50x11
50x10
45x10
45x10",2550,50.0
23 Feb 2026,Shoulders,Seated shoulder press,"20x10
20x8
18x9
18x8
14x10",806,20.0
23 Feb 2026,Shoulders,Facepulls,"20x12
20x12
20x11
20x10
20x9",1080,20.0
23 Feb 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10
17.5x8
15x12",897,17.5
23 Feb 2026,Biceps,Seated biceps curls DB,"12x11
12x10
12x10
12x9
12x11",612,12.0
23 Feb 2026,Legs (upper),Front squat,"40x9
40x8
40x7
40x8
40x11",1720,40.0
23 Feb 2026,Legs (upper),Straight leg DL BB,"40x11
40x10
40x9
40x8
40x7",1800,40.0
23 Feb 2026,Legs (upper),Solduri aparat,"55x11
55x11
55x11
55x10
55x10",2915,55.0
23 Feb 2026,Legs (upper),Inghinali aparat,"45x11
45x11
45x10
45x10
45x9",2295,45.0
23 Feb 2026,Legs (lower),Gambe machine,"20x17
40x10
40x10
40x8
40x8",1780,40.0
2 Mar 2026,Chest,Bench press barbell,"60x10
60x8
60x7
60x7
60x20",3120,60.0
2 Mar 2026,Chest,Incline bench press barbell,"40x14
40x13
40x11
40x10
40x10",2320,40.0
2 Mar 2026,Chest,Flies bench horizontal DB,"14x11
14x10
14x10
14x10
14x13",756,14.0
2 Mar 2026,Back,Helcometru aparat cu discuri,"80x11
80x10
80x10
80x9
80x7",3760,80.0
2 Mar 2026,Back,Pullover cable bara dreapta,"22.5x11
22.5x11
22.5x10
20x11
17.5x10",1114,22.5
2 Mar 2026,Back,Ramat bara V,"50x12
50x11
50x10
45x11
45x10",2595,50.0
2 Mar 2026,Shoulders,Seated shoulder press,"18x10
18x8
18x8
18x8
14x16",836,18.0
2 Mar 2026,Shoulders,Lateral raises DB,"7.5x10
7.5x9
7.5x8
7.5x8
7.5x8",322,7.5
2 Mar 2026,Shoulders,Facepulls,"20x12
20x12
20x11
20x10
20x10",1100,20.0
2 Mar 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x11
17.5x10
15x9
15x13",907,17.5
2 Mar 2026,Triceps,Skull crushers DB,"10x13
10x12
10x10
10x10
8x10",530,10.0
2 Mar 2026,Biceps,Seated hammer curls DB,"10x13
10x12
10x10
10x10
10x11",560,10.0
2 Mar 2026,Biceps,Spider curls DB,"8x15
8x12
8x11
8x11
8x10",472,8.0
9 Mar 2026,Chest,Bench press barbell,"60x11
60x9
60x7
60x8
60x18",3180,60.0
9 Mar 2026,Chest,Flies cable top,"10x11
10x10
10x10
10x8
7.5x13",487,10.0
9 Mar 2026,Back,Helcometru aparat cu discuri,"80x11
80x10
80x10
80x10
80x7",3840,80.0
9 Mar 2026,Back,Ramat bara V,"50x12
50x11
50x10
45x11
45x11",2640,50.0
9 Mar 2026,Shoulders,Reverse flies cable,"2.5x12
2.5x12
2.5x12
2.5x11
2.5x10",142,2.5
9 Mar 2026,Legs (upper),Quad raise machine,"45x11
50x10
50x10
50x10
45x11",2490,50.0
9 Mar 2026,Legs (upper),Lying hammstring curls,"27.5x11
27.5x11
27.5x10
27.5x10
27.5x9",1401,27.5
9 Mar 2026,Legs (lower),Gambe machine,40x12,480,40.0
16 Mar 2026,Chest,Bench press barbell,"50x14
50x12
50x9
50x8
50x13",2800,50.0
16 Mar 2026,Back,Ramat BB,"40x12
40x11
40x10
40x8
40x8",1960,40.0
16 Mar 2026,Shoulders,Lateral raises DB,"8x8
8x7
8x7
6x10
6x17",338,8.0
16 Mar 2026,Triceps,Triceps pushdown rope,"17.5x12
17.5x10
17.5x11
15x10
15x13",922,17.5
16 Mar 2026,Legs (upper),Front squat,"40x9
40x9
40x7
40x8
40x11",1760,40.0
16 Mar 2026,Legs (upper),Straight leg DL BB,"40x12
40x11
40x10
40x9
40x8",2000,40.0
16 Mar 2026,Legs (upper),Bulgarian split squats,"16x11
16x10
16x8
16x8
16x15",832,16.0
16 Mar 2026,Legs (lower),Gambe one leg DB,"40x28
40x26
40x25
40x23
40x21",4920,40.0
